1, 0.007
2, 0.008
3, 0.009
4, 0.010
5, 0.011
6, 0.016
7, 0.020
8, 0.030
9, 0.035
10, 0.040
11, 0.045
12, 0.050
13, 0.055
14, 0.060
15, 0.065
16, 0.070
17, 0.075
18, 0.080
19, 0.085
20, 0.085
21, 0.090
22, 0.095
23, 0.100
24, 0.130
25, 0.143
26, 0.153
27, 0.176
28, 0.217
29, 0.238
30, 0.286
35, 0.555
40, 1.219
45, 2.175
50, 3.792
60, 8.839
70, 25.412
80, 56.827
90, 2*60+4.374
100, 4*60+5.338
125, 14*60+34.741
150, 47*60+34.185
200, 342*60+27.700
